tau,r,phi,t,E
0.000000000000000e+00,5.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
1.000000000000000e-03,4.999552776403903e+00,0.000000000000000e+00,1.250013976674991e-03,-1.387778780781446e-17
2.000000000000000e-03,4.999105532804228e+00,0.000000000000000e+00,2.500055911701544e-03,-4.163336342344337e-17
3.000000000000000e-03,4.998658269197397e+00,0.000000000000000e+00,3.750125812584398e-03,-4.163336342344337e-17
4.000000000000000e-03,4.998210985579826e+00,0.000000000000000e+00,5.000223686831456e-03,-4.163336342344337e-17
5.000000000000001e-03,4.997763681947935e+00,0.000000000000000e+00,6.250349541953784e-03,-6.938893903907228e-17
6.000000000000002e-03,4.997316358298142e+00,0.000000000000000e+00,7.500503385465612e-03,-4.163336342344337e-17
7.000000000000003e-03,4.996869014626863e+00,0.000000000000000e+00,8.750685224884340e-03,-5.551115123125783e-17
8.000000000000004e-03,4.996421650930511e+00,0.000000000000000e+00,1.000089506773054e-02,-4.163336342344337e-17
9.000000000000005e-03,4.995974267205502e+00,0.000000000000000e+00,1.125113292152794e-02,-4.163336342344337e-17
1.000000000000001e-02,4.995526863448248e+00,0.000000000000000e+00,1.250139879380346e-02,-2.775557561562891e-17
1.100000000000001e-02,4.995079439655161e+00,0.000000000000000e+00,1.375169269208720e-02,-2.775557561562891e-17
1.200000000000001e-02,4.994631995822651e+00,0.000000000000000e+00,1.500201462391240e-02,0.000000000000000e+00
1.300000000000001e-02,4.994184531947128e+00,0.000000000000000e+00,1.625236459681552e-02,1.387778780781446e-17
1.400000000000001e-02,4.993737048024999e+00,0.000000000000000e+00,1.750274261833617e-02,0.000000000000000e+00
1.500000000000001e-02,4.993289544052673e+00,0.000000000000000e+00,1.875314869601717e-02,0.000000000000000e+00
1.600000000000001e-02,4.992842020026554e+00,0.000000000000000e+00,2.000358283740449e-02,1.387778780781446e-17
1.700000000000001e-02,4.992394475943049e+00,0.000000000000000e+00,2.125404505004732e-02,0.000000000000000e+00
1.800000000000001e-02,4.991946911798559e+00,0.000000000000000e+00,2.250453534149801e-02,1.387778780781446e-17
1.900000000000001e-02,4.991499327589489e+00,0.000000000000000e+00,2.375505371931211e-02,0.000000000000000e+00
2.000000000000001e-02,4.991051723312240e+00,0.000000000000000e+00,2.500560019104838e-02,1.387778780781446e-17
2.100000000000002e-02,4.990604098963212e+00,0.000000000000000e+00,2.625617476426874e-02,0.000000000000000e+00
2.200000000000002e-02,4.990156454538804e+00,0.000000000000000e+00,2.750677744653831e-02,-1.387778780781446e-17
2.300000000000002e-02,4.989708790035415e+00,0.000000000000000e+00,2.875740824542544e-02,1.387778780781446e-17
2.400000000000002e-02,4.989261105449441e+00,0.000000000000000e+00,3.000806716850165e-02,0.000000000000000e+00
2.500000000000002e-02,4.988813400777278e+00,0.000000000000000e+00,3.125875422334166e-02,2.775557561562891e-17
2.600000000000002e-02,4.988365676015322e+00,0.000000000000000e+00,3.250946941752339e-02,4.163336342344337e-17
2.700000000000002e-02,4.987917931159964e+00,0.000000000000000e+00,3.376021275862798e-02,1.387778780781446e-17
2.800000000000002e-02,4.987470166207598e+00,0.000000000000000e+00,3.501098425423977e-02,1.387778780781446e-17
2.900000000000002e-02,4.987022381154616e+00,0.000000000000000e+00,3.626178391194631e-02,4.163336342344337e-17
3.000000000000002e-02,4.986574575997407e+00,0.000000000000000e+00,3.751261173933835e-02,1.387778780781446e-17
3.100000000000002e-02,4.986126750732360e+00,0.000000000000000e+00,3.876346774400985e-02,1.387778780781446e-17
3.200000000000002e-02,4.985678905355864e+00,0.000000000000000e+00,4.001435193355799e-02,1.387778780781446e-17
3.300000000000002e-02,4.985231039864304e+00,0.000000000000000e+00,4.126526431558317e-02,1.387778780781446e-17
3.400000000000002e-02,4.984783154254068e+00,0.000000000000000e+00,4.251620489768901e-02,4.163336342344337e-17
3.500000000000002e-02,4.984335248521539e+00,0.000000000000000e+00,4.376717368748233e-02,4.163336342344337e-17
3.600000000000003e-02,4.983887322663100e+00,0.000000000000000e+00,4.501817069257318e-02,2.775557561562891e-17
3.700000000000003e-02,4.983439376675133e+00,0.000000000000000e+00,4.626919592057484e-02,4.163336342344337e-17
3.800000000000003e-02,4.982991410554021e+00,0.000000000000000e+00,4.752024937910380e-02,5.551115123125783e-17
3.900000000000003e-02,4.982543424296142e+00,0.000000000000000e+00,4.877133107577980e-02,4.163336342344337e-17
4.000000000000003e-02,4.982095417897876e+00,0.000000000000000e+00,5.002244101822578e-02,4.163336342344337e-17
4.100000000000003e-02,4.981647391355599e+00,0.000000000000000e+00,5.127357921406792e-02,2.775557561562891e-17
4.200000000000003e-02,4.981199344665690e+00,0.000000000000000e+00,5.252474567093564e-02,4.163336342344337e-17
4.300000000000003e-02,4.980751277824523e+00,0.000000000000000e+00,5.377594039646159e-02,5.551115123125783e-17
4.400000000000003e-02,4.980303190828472e+00,0.000000000000000e+00,5.502716339828165e-02,5.551115123125783e-17
4.500000000000003e-02,4.979855083673910e+00,0.000000000000000e+00,5.627841468403494e-02,5.551115123125783e-17
4.600000000000003e-02,4.979406956357210e+00,0.000000000000000e+00,5.752969426136383e-02,4.163336342344337e-17
4.700000000000003e-02,4.978958808874743e+00,0.000000000000000e+00,5.878100213791390e-02,6.938893903907228e-17
4.800000000000004e-02,4.978510641222877e+00,0.000000000000000e+00,6.003233832133401e-02,9.714451465470120e-17
4.900000000000004e-02,4.978062453397981e+00,0.000000000000000e+00,6.128370281927625e-02,1.110223024625157e-16
5.000000000000004e-02,4.977614245396422e+00,0.000000000000000e+00,6.253509563939595e-02,9.714451465470120e-17
5.100000000000004e-02,4.977166017214568e+00,0.000000000000000e+00,6.378651678935171e-02,1.110223024625157e-16
5.200000000000004e-02,4.976717768848783e+00,0.000000000000000e+00,6.503796627680535e-02,8.326672684688674e-17
